BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
030340002150,"ТОО ""КУМКОЛЬ-СЕРВИС""",33125,Ремонт и техническое обслуживание прочих машин и оборудования специального назначения,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
030340006887,"ТОО ""АЛТЫН-ДАН ПВА""",01120,Выращивание риса,433630100,с. ЖАЛАГАШ,305,Крупная компания (251 - 500 чел.)
030640005443,"АО ""СНПС- АЙ ДАН МУНАЙ""",71122,Деятельность по проведению геологической разведки и изысканий (без научных исследований и разработок),431010000,г. Кызылорда,305,Крупная компания (251 - 500 чел.)
031141006977,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ЛОКОМОТИВ"" ""СЕКСЕУЛЬСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",52211,Эксплуатация железных дорог,433257100,с. САКСАУЛЬСКИЙ,305,Крупная компания (251 - 500 чел.)
040240009443,"ТОО ""ЖАНАЖОЛ""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",434643100,с. ДУР ОНГАР,305,Крупное предприятие (251 - 500 чел.)
040440019227,"ТОО ""ИМЕНИ МАДИ ХАДЖИ""",01120,Выращивание риса,434855100,с. ШИРКЕЙЛИ,305,Крупное предприятие (251 - 500 чел.)
041240008963,"ТОО ""РЗА-АГРО""",01120,Выращивание риса,434450100,с. МУРАТБАЕВ,305,Крупное предприятие (251 - 500 чел.)
041240010905,"ТОО ""ШАГАН ЖЕР""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",434853100,с. ШАГАН,305,Крупное предприятие (251 - 500 чел.)
050340010175,"ТОО ""МАҒЖАН И К""",01120,Выращивание риса,434843100,с. ИМ.H.ИЛЬЯСОВА,305,Крупное предприятие (251 - 500 чел.)
050440001239,"ТОО ""ФРАК ДЖЕТ""",09100,Техническая поддержка при добыче нефти и природного газа,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
050540000333,"ТОО ""АЗИАШ""",43121,Земляные работы,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
050740006290,"ТОО ""КУМКОЛЬ ТРАНС СЕРВИС""",71122,Деятельность по проведению геологической разведки и изысканий (без научных исследований и разработок),431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
051140001449,"ТОО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЭНЕРГИЯ""",41202,Строительство нежилых зданий,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
051240015155,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ГОРОДА Кызылорда ДЕПАРТАМЕНТА ВНУТРЕННИХ ДЕЛ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
060540010332,"ТОО ""CNEC"" (""СИЭНИСИ"")",71122,Деятельность по проведению геологической разведки и изысканий (без научных исследований и разработок),431010000,г. Кызылорда,305,Крупное предприятие (251 - 500 чел.)
060541009835,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-ТРАНСПОРТНАЯ КОМПАНИЯ"" ""ТТК-ШИЕЛИ""",49410,Грузовые перевозки автомобильным транспортом,435230100,с. ШИЕЛИ,305,Крупное предприятие (251 - 500 чел.)
