BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
БИН,Наименование предприятия / компании,ОКЭД,Отрасль деятельности,КАТО,Населённый пункт,КРП,Размер предприятия / компании
000340005477,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОЗЕНИНВЕСТ"" АКИМАТА ГОРОДА Жанаозен",82990,"Прочие виды вспомогательного обслуживания хозяйственной деятельности, не включенные в другие категории",471810000,г. Жанаозен,305,Крупное предприятие (251 - 500 чел.)
000340005685,"ТОО ""ОХРАННОЕ АГЕНТСТВО ""ЦЕНТУРИОН""",80100,Деятельность частных охранных служб,471010000,г. Актау,305,Крупная компания (251 - 500 чел.)
000340007126,"ГОС. УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 2018""",84220,Оборонная деятельность,471043100,с. Умирзак,305,Крупное предприятие (251 - 500 чел.)
000540002360,"АО ""KAZAKHSTAN PETROCHEMICAL INDUSTRIES""",68200,Аренда и эксплуатация собственной или арендуемой недвижимости,471010000,г. Актау,305,Крупная компания (251 - 500 чел.)
000941000344,"ФИЛИАЛ КОМПАНИИ ""МАЕРСК ОЙЛ КАЗАХСТАН ГМБХ""",06100,Добыча сырой нефти и попутного газа,471010000,г. Актау,305,Крупное предприятие (251 - 500 чел.)
001140002478,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ЖанаозенСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ МАНГИСТАУСКОЙ ОБЛАСТИ АКИМАТА МАНГИСТАУСКОЙ ОБЛАСТИ",86210,Общая врачебная практика,471810000,г. Жанаозен,305,Крупное предприятие (251 - 500 чел.)
011241003229,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗАКСТАН ТЕМIР ЖОЛЫ"" - ""МАНГИСТАУСКОЕ ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",33171,Ремонт подвижного состава железных дорог,475030100,с. Мангистау,305,Крупная компания (251 - 500 чел.)
020140002337,"ГОС. УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СПЕЦИАЛИЗИРОВАННОЙ СЛУЖБЫ ОХРАНЫ МАНГИСТАУСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННЫХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,471010000,г. Актау,305,Крупное предприятие (251 - 500 чел.)
020141003581,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗАКСТАН ТЕМIР ЖОЛЫ"" - ""БЕЙНЕУСКАЯ ДИСТАНЦИЯ ПУТИ""",52211,Эксплуатация железных дорог,473630100,с. Бейнеу,305,Крупное предприятие (251 - 500 чел.)
